              x             t0             t1             t2             t3             t4             t5             t6             t7             t8             t9            t10            t11            t12            t13            t14            t15            t16            t17            t18            t19            t20            t21            t22            t23            t24            t25            t26            t27            t28            t29            t30            t31            t32            t33            t34            t35            t36            t37            t38            t39            t40            t41            t42            t43            t44            t45            t46            t47            t48            t49            t50            t51            t52            t53            t54            t55            t56            t57            t58            t59            t60            t61            t62            t63            t64            t65            t66            t67            t68            t69            t70            t71            t72            t73            t74            t75            t76            t77            t78            t79            t80            t81            t82            t83            t84            t85            t86            t87            t88            t89            t90            t91            t92            t93            t94            t95            t96            t97            t98            t99 
      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000003      0.0000009      0.0000021      0.0000041      0.0000075      0.0000130      0.0000219      0.0000365      0.0000603      0.0000976      0.0001535      0.0002332      0.0003407      0.0004784      0.0006469      0.0008446      0.0010679      0.0013124      0.0015727      0.0018433      0.0021192      0.0023959      0.0026692      0.0029356      0.0031913      0.0034326      0.0036561      0.0038583      0.0040369      0.0041901      0.0043174      0.0044188      0.0044954      0.0045484      0.0045798      0.0045916      0.0045862      0.0045658      0.0045326      0.0044886      0.0044355      0.0043749      0.0043080      0.0042359      0.0041596      0.0040798      0.0039970      0.0039116      0.0038241      0.0037349      0.0036442      0.0035522      0.0034592 
      1.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000000      0.0000000      0.0000002      0.0000009      0.0000023      0.0000050      0.0000093      0.0000161      0.0000268      0.0000444      0.0000740      0.0001236      0.0002037      0.0003264      0.0005040      0.0007469      0.0010626      0.0014541      0.0019208      0.0024585      0.0030610      0.0037202      0.0044275      0.0051733      0.0059472      0.0067382      0.0075341      0.0083222      0.0090891      0.0098214      0.0105069      0.0111351      0.0116979      0.0121902      0.0126096      0.0129563      0.0132326      0.0134426      0.0135913      0.0136846      0.0137287      0.0137295      0.0136928      0.0136237      0.0135266      0.0134053      0.0132632      0.0131030      0.0129267      0.0127361      0.0125327      0.0123177      0.0120921      0.0118571      0.0116133      0.0113617 
      2.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000001      0.0000001      0.0000003      0.0000008      0.0000017      0.0000034      0.0000056      0.0000086      0.0000127      0.0000190      0.0000302      0.0000505      0.0000864      0.0001461      0.0002385      0.0003728      0.0005574      0.0007993      0.0011042      0.0014769      0.0019219      0.0024439      0.0030475      0.0037363      0.0045110      0.0053688      0.0063019      0.0072976      0.0083389      0.0094060      0.0104781      0.0115337      0.0125530      0.0135189      0.0144171      0.0152375      0.0159742      0.0166250      0.0171903      0.0176735      0.0180795      0.0184138      0.0186828      0.0188928      0.0190496      0.0191583      0.0192238      0.0192497      0.0192389      0.0191940      0.0191171      0.0190097      0.0188733      0.0187091      0.0185180      0.0183017      0.0180614 
      3.0000000      0.0000001      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000002      0.0000002      0.0000002      0.0000002      0.0000003      0.0000003      0.0000003      0.0000004      0.0000004      0.0000003      0.0000003      0.0000004      0.0000006      0.0000012      0.0000022      0.0000035      0.0000049      0.0000061      0.0000075      0.0000098      0.0000153      0.0000267      0.0000470      0.0000780      0.0001203      0.0001722      0.0002314      0.0002952      0.0003627      0.0004354      0.0005176      0.0006169      0.0007438      0.0009109      0.0011324      0.0014224      0.0017934      0.0022539      0.0028075      0.0034518      0.0041789      0.0049764      0.0058286      0.0067182      0.0076269      0.0085377      0.0094353      0.0103069      0.0111429      0.0119370      0.0126851      0.0133855      0.0140382      0.0146441      0.0152046      0.0157217      0.0161971      0.0166319      0.0170270      0.0173830      0.0176997      0.0179770      0.0182146      0.0184117      0.0185681      0.0186836      0.0187580      0.0187918 
      4.0000000      0.0000003      0.0000001      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000002      0.0000002      0.0000002      0.0000003      0.0000003      0.0000003      0.0000004      0.0000004      0.0000004      0.0000005      0.0000005      0.0000005      0.0000005      0.0000005      0.0000006      0.0000009      0.0000016      0.0000027      0.0000040      0.0000053      0.0000063      0.0000073      0.0000102      0.0000185      0.0000370      0.0000710      0.0001246      0.0001986      0.0002903      0.0003935      0.0005005      0.0006041      0.0006989      0.0007820      0.0008512      0.0009046      0.0009385      0.0009489      0.0009327      0.0008903      0.0008272      0.0007544      0.0006877      0.0006445      0.0006416      0.0006927      0.0008072      0.0009897      0.0012405      0.0015564      0.0019312      0.0023575      0.0028271      0.0033318      0.0038646      0.0044194      0.0049908      0.0055743      0.0061665      0.0067638      0.0073630      0.0079611      0.0085545      0.0091396      0.0097129      0.0102702      0.0108074      0.0113207      0.0118062      0.0122605      0.0126805      0.0130634 
      5.0000000      0.0000012      0.0000004      0.0000002      0.0000001      0.0000001      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000002      0.0000002      0.0000002      0.0000003      0.0000003      0.0000003      0.0000004      0.0000004      0.0000005      0.0000005      0.0000006      0.0000006      0.0000007      0.0000007      0.0000007      0.0000007      0.0000008      0.0000009      0.0000012      0.0000020      0.0000030      0.0000042      0.0000050      0.0000053      0.0000055      0.0000075      0.0000150      0.0000336      0.0000696      0.0001290      0.0002155      0.0003305      0.0004730      0.0006414      0.0008356      0.0010581      0.0013139      0.0016089      0.0019458      0.0023201      0.0027174      0.0031132      0.0034747      0.0037667      0.0039580      0.0040271      0.0039662      0.0037819      0.0034935      0.0031277      0.0027141      0.0022817      0.0018558      0.0014565      0.0010987      0.0007924      0.0005433      0.0003541      0.0002250      0.0001551      0.0001426      0.0001858      0.0002824      0.0004304      0.0006275      0.0008710      0.0011580      0.0014851      0.0018482      0.0022428      0.0026638      0.0031056      0.0035627      0.0040293      0.0044995      0.0049677 
      6.0000000      0.0000046      0.0000017      0.0000007      0.0000003      0.0000002      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000001      0.0000002      0.0000002      0.0000002      0.0000002      0.0000003      0.0000003      0.0000003      0.0000004      0.0000004      0.0000005      0.0000005      0.0000006      0.0000006      0.0000007      0.0000008      0.0000008      0.0000009      0.0000010      0.0000010      0.0000010      0.0000011      0.0000013      0.0000017      0.0000024      0.0000033      0.0000042      0.0000046      0.0000041      0.0000034      0.0000043      0.0000105      0.0000269      0.0000585      0.0001089      0.0001799      0.0002707      0.0003797      0.0005068      0.0006552      0.0008329      0.0010533      0.0013339      0.0016937      0.0021496      0.0027126      0.0033831      0.0041474      0.0049768      0.0058291      0.0066531      0.0073960      0.0080119      0.0084676      0.0087461      0.0088473      0.0087850      0.0085808      0.0082606      0.0078504      0.0073737      0.0068502      0.0062964      0.0057254      0.0051473      0.0045704      0.0040022      0.0034492      0.0029180      0.0024154      0.0019477      0.0015208      0.0011407      0.0008118      0.0005379      0.0003215      0.0001636      0.0000640      0.0000212      0.0000324      0.0000939      0.0002013 
      7.0000000      0.0000160      0.0000060      0.0000025      0.0000012      0.0000007      0.0000005      0.0000003      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000002      0.0000003      0.0000003      0.0000003      0.0000004      0.0000004      0.0000004      0.0000005      0.0000005      0.0000006      0.0000007      0.0000007      0.0000008      0.0000009      0.0000009      0.0000010      0.0000011      0.0000012      0.0000012      0.0000013      0.0000014      0.0000014      0.0000015      0.0000017      0.0000022      0.0000029      0.0000037      0.0000044      0.0000043      0.0000033      0.0000020      0.0000026      0.0000089      0.0000259      0.0000577      0.0001067      0.0001720      0.0002499      0.0003357      0.0004262      0.0005218      0.0006271      0.0007504      0.0009017      0.0010914      0.0013306      0.0016314      0.0020084      0.0024776      0.0030546      0.0037495      0.0045618      0.0054783      0.0064720      0.0075046      0.0085328      0.0095147      0.0104147      0.0112075      0.0118786      0.0124221      0.0128372      0.0131265      0.0132933      0.0133404      0.0132708      0.0130879      0.0127955      0.0123988      0.0119051      0.0113234      0.0106650      0.0099432      0.0091730      0.0083700      0.0075505      0.0067301      0.0059233      0.0051436      0.0044027      0.0037100      0.0030726      0.0024961      0.0019834 
      8.0000000      0.0000511      0.0000200      0.0000086      0.0000042      0.0000023      0.0000014      0.0000010      0.0000008      0.0000006      0.0000005      0.0000005      0.0000005      0.0000004      0.0000005      0.0000005      0.0000005      0.0000005      0.0000006      0.0000006      0.0000007      0.0000007      0.0000008      0.0000008      0.0000009      0.0000010      0.0000010      0.0000011      0.0000012      0.0000013      0.0000014      0.0000015      0.0000016      0.0000017      0.0000018      0.0000018      0.0000019      0.0000020      0.0000021      0.0000023      0.0000028      0.0000035      0.0000043      0.0000047      0.0000042      0.0000027      0.0000010      0.0000014      0.0000081      0.0000259      0.0000589      0.0001090      0.0001747      0.0002522      0.0003375      0.0004287      0.0005285      0.0006441      0.0007843      0.0009554      0.0011569      0.0013799      0.0016077      0.0018208      0.0020049      0.0021570      0.0022890      0.0024276      0.0026101      0.0028764      0.0032608      0.0037864      0.0044609      0.0052765      0.0062145      0.0072485      0.0083494      0.0094883      0.0106382      0.0117727      0.0128662      0.0138937      0.0148301      0.0156516      0.0163376      0.0168710      0.0172386      0.0174327      0.0174516      0.0172984      0.0169821      0.0165163      0.0159176      0.0152057      0.0144022      0.0135288      0.0126067      0.0116566      0.0106972      0.0097450      0.0088146 
      9.0000000      0.0001503      0.0000620      0.0000274      0.0000134      0.0000073      0.0000044      0.0000030      0.0000022      0.0000017      0.0000014      0.0000013      0.0000012      0.0000011      0.0000011      0.0000011      0.0000011      0.0000011      0.0000012      0.0000012      0.0000013      0.0000013      0.0000014      0.0000015      0.0000016      0.0000017      0.0000018      0.0000019      0.0000020      0.0000021      0.0000022      0.0000023      0.0000024      0.0000025      0.0000026      0.0000027      0.0000028      0.0000029      0.0000032      0.0000037      0.0000044      0.0000051      0.0000052      0.0000044      0.0000025      0.0000004      0.0000009      0.0000078      0.0000260      0.0000589      0.0001074      0.0001692      0.0002405      0.0003182      0.0004033      0.0005027      0.0006297      0.0007999      0.0010277      0.0013204      0.0016739      0.0020702      0.0024782      0.0028578      0.0031660      0.0033648      0.0034301      0.0033571      0.0031625      0.0028828      0.0025687      0.0022770      0.0020628      0.0019739      0.0020462      0.0023026      0.0027538      0.0033998      0.0042315      0.0052330      0.0063815      0.0076478      0.0089972      0.0103913      0.0117882      0.0131464      0.0144265      0.0155925      0.0166140      0.0174678      0.0181378      0.0186148      0.0188979      0.0189922      0.0189079      0.0186602      0.0182672      0.0177486      0.0171254      0.0164192      0.0156494 
     10.0000000      0.0004078      0.0001780      0.0000811      0.0000400      0.0000218      0.0000130      0.0000086      0.0000061      0.0000047      0.0000038      0.0000032      0.0000029      0.0000026      0.0000025      0.0000024      0.0000023      0.0000023      0.0000023      0.0000024      0.0000024      0.0000025      0.0000026      0.0000027      0.0000028      0.0000029      0.0000030      0.0000031      0.0000032      0.0000033      0.0000035      0.0000036      0.0000037      0.0000038      0.0000039      0.0000040      0.0000042      0.0000045      0.0000050      0.0000056      0.0000062      0.0000061      0.0000049      0.0000026      0.0000004      0.0000010      0.0000085      0.0000273      0.0000600      0.0001063      0.0001626      0.0002244      0.0002889      0.0003585      0.0004426      0.0005566      0.0007179      0.0009422      0.0012389      0.0016092      0.0020460      0.0025354      0.0030578      0.0035878      0.0040957      0.0045480      0.0049101      0.0051505      0.0052465      0.0051868      0.0049732      0.0046210      0.0041573      0.0036177      0.0030443      0.0024832      0.0019810      0.0015825      0.0013282      0.0012520      0.0013785      0.0017229      0.0022885      0.0030662      0.0040361      0.0051674      0.0064215      0.0077557      0.0091251      0.0104852      0.0117951      0.0130194      0.0141284      0.0151000      0.0159197      0.0165790      0.0170759      0.0174147      0.0176027      0.0176507      0.0175725 
     11.0000000      0.0010196      0.0004722      0.0002236      0.0001122      0.0000610      0.0000362      0.0000233      0.0000162      0.0000121      0.0000095      0.0000078      0.0000067      0.0000060      0.0000055      0.0000051      0.0000049      0.0000047      0.0000046      0.0000046      0.0000046      0.0000046      0.0000046      0.0000047      0.0000048      0.0000049      0.0000050      0.0000051      0.0000052      0.0000053      0.0000054      0.0000055      0.0000056      0.0000057      0.0000058      0.0000060      0.0000063      0.0000068      0.0000074      0.0000078      0.0000075      0.0000059      0.0000033      0.0000010      0.0000020      0.0000104      0.0000300      0.0000627      0.0001068      0.0001578      0.0002107      0.0002634      0.0003205      0.0003943      0.0005022      0.0006621      0.0008867      0.0011784      0.0015282      0.0019190      0.0023315      0.0027495      0.0031652      0.0035800      0.0040013      0.0044374      0.0048936      0.0053676      0.0058471      0.0063107      0.0067299      0.0070699      0.0072940      0.0073681      0.0072654      0.0069712      0.0064884      0.0058389      0.0050617      0.0042097      0.0033446      0.0025300      0.0018262      0.0012856      0.0009481      0.0008387      0.0009672      0.0013280      0.0019029      0.0026637      0.0035747      0.0045968      0.0056901      0.0068158      0.0079384      0.0090277      0.0100587      0.0110115      0.0118725      0.0126327      0.0132875 
